slug,kind,note,successor_slug,source,checked_at
c-3202,廃止,2006年（平成18年）の不動産の鑑定評価に関する法律の改正により鑑定士補制度は廃止され、不動産鑑定士に一本化されました。,c-3201,https://laws.e-gov.go.jp/law/338AC0000000152,2026-06-29
c-6802,廃止,2021年4月の工事担任者規則改正で資格区分が再編され、AI第2種は廃止されました（経過措置の特例試験も2023年8月に終了）。現在はデジタル通信・アナログ通信等の区分に移行しています。,,https://www.dekyo.or.jp/shiken/,2026-06-29
c-6805,廃止,2021年4月の工事担任者規則改正で資格区分が再編され、DD第2種は廃止されました（経過措置の特例試験も2023年8月に終了）。現在はデジタル通信・アナログ通信等の区分に移行しています。,,https://www.dekyo.or.jp/shiken/,2026-06-29
c-2304,廃止,2013年4月の介護員養成研修体系の再編により廃止されました。上位課程は介護福祉士実務者研修に引き継がれています。,c-2314,https://www.mhlw.go.jp/,2026-06-29
c-2305,廃止,2013年4月の介護員養成研修体系の再編により廃止され、介護職員初任者研修に移行しました。,c-2313,https://www.mhlw.go.jp/,2026-06-29
c-2306,廃止,2013年4月の介護員養成研修体系の再編により廃止されました。入門課程は介護職員初任者研修に引き継がれています。,c-2313,https://www.mhlw.go.jp/,2026-06-29
c-2311,廃止,介護員養成研修体系の再編により廃止され、介護福祉士実務者研修に一本化されました。,c-2314,https://www.mhlw.go.jp/,2026-06-29
c-3533,補足,日本語検定の準級は独立した試験ではなく、各級の受験で上位級にわずかに届かなかった場合に成績に応じて認定される区分です。受験は各級に対して行います。,c-3532,https://www.nihongokentei.jp/exam/,2026-06-30
c-3535,補足,日本語検定の準級は独立した試験ではなく、各級の受験で上位級にわずかに届かなかった場合に成績に応じて認定される区分です。受験は各級に対して行います。,c-3534,https://www.nihongokentei.jp/exam/,2026-06-30
c-3537,補足,日本語検定の準級は独立した試験ではなく、各級の受験で上位級にわずかに届かなかった場合に成績に応じて認定される区分です。受験は各級に対して行います。,c-3536,https://www.nihongokentei.jp/exam/,2026-06-30
