slug,occ_id,note
c-1001,o-0377,畜産・酪農の繁殖
c-1002,o-0575,
c-1002,o-0576,
c-1002,o-0757,
c-1003,o-0287,ふ化場・養鶏
c-1004,o-0483,
c-1004,o-0492,
c-1005,o-0448,農業部門
c-1005,o-0755,
c-1005,o-0758,
c-1006,o-0448,森林部門
c-1006,o-0483,
c-1006,o-0491,
c-1007,o-0448,水産部門
c-1007,o-0514,
c-1007,o-0515,
c-1101,o-0864,
c-1101,o-0866,
c-1102,o-0865,
c-1103,o-0409,
c-1103,o-0870,
c-1201,o-0585,
c-1201,o-0835,
c-1202,o-0673,
c-1202,o-0675,
c-1202,o-0704,
c-1203,o-0367,
c-1203,o-0584,
c-1203,o-0842,
c-1204,o-0583,
c-1204,o-0721,
c-1204,o-0842,
c-1205,o-0141,
c-1205,o-0143,
c-1205,o-0721,
c-1205,o-0842,
c-1206,o-0845,
c-1206,o-0847,
c-1206,o-0851,
c-1207,o-0001,
c-1207,o-0844,
c-1208,o-0125,
c-1208,o-0763,
c-1208,o-0853,
c-1210,o-0764,
c-1210,o-0852,
c-1211,o-0714,プラント・工場
c-1212,o-0713,
c-1214,o-0304,
c-1214,o-0321,
c-1214,o-0706,
c-1215,o-0304,
c-1215,o-0321,
c-1215,o-0706,
c-1216,o-0313,原子力発電所・研究炉の運転保安監督
c-1217,o-0489,核燃料施設の保安監督
c-1218,o-0457,医療機関・研究機関・原子力・非破壊検査
c-1219,o-0455,医療・研究・産業の放射線施設の管理
c-1222,o-0546,火薬・爆薬製造工場の保安監督
c-1223,o-0546,火薬類製造所の保安監督
c-1224,o-0546,小規模火薬類製造の保安
c-1225,o-0292,
c-1226,o-0500,
c-1227,o-0145,
c-1227,o-0279,
c-1227,o-0281,
c-1231,o-0447,
c-1231,o-0448,機械部門
c-1231,o-0507,
c-1232,o-0447,
c-1232,o-0448,電気電子部門
c-1232,o-0840,
c-1233,o-0447,
c-1233,o-0448,金属部門
c-1233,o-0801,
c-1234,o-0297,
c-1234,o-0447,
c-1234,o-0448,化学部門
c-1235,o-0129,
c-1235,o-0447,
c-1235,o-0448,生物工学部門
c-1236,o-0447,
c-1236,o-0448,資源工学部門
c-1236,o-0748,
c-1237,o-0582,建設・採石・トンネル工事等の発破作業
c-1238,o-0765,
c-1238,o-0856,
c-1239,o-0766,
c-1239,o-0855,中小規模
c-1301,o-0192,
c-1301,o-0396,
c-1301,o-0422,
c-1301,o-0431,
c-1301,o-0497,
c-1301,o-0722,
c-1302,o-0217,
c-1302,o-0253,
c-1302,o-0725,
c-1303,o-0481,木造建築物の設計・工事監理
c-1303,o-0723,
c-1304,o-0420,
c-1304,o-0617,
c-1304,o-0723,
c-1305,o-0438,
c-1305,o-0440,
c-1306,o-0438,
c-1306,o-0439,
c-1307,o-0054,
c-1307,o-0275,
c-1307,o-0723,
c-1308,o-0053,
c-1308,o-0251,
c-1309,o-0324,
c-1310,o-0421,特定建築物の建築設備の定期検査
c-1311,o-0476,エレベーター・エスカレーター等の定期検査
c-1312,o-0551,特定建築物の定期調査
c-1313,o-0141,
c-1313,o-0144,
c-1313,o-0417,
c-1313,o-0721,
c-1315,o-0415,
c-1315,o-0429,
c-1315,o-0464,
c-1315,o-0561,
c-1316,o-0397,
c-1316,o-0414,中小規模
c-1316,o-0561,
c-1317,o-0344,
c-1317,o-0424,
c-1317,o-0448,建設部門
c-1318,o-0419,建築コスト管理・積算
c-1319,o-0821,
c-1320,o-0004,
c-1320,o-0423,
c-1320,o-0697,
c-1320,o-0724,
c-1321,o-0004,
c-1321,o-0423,
c-1321,o-0697,
c-1321,o-0724,
c-1322,o-0004,
c-1322,o-0423,
c-1322,o-0697,
c-1322,o-0724,
c-1323,o-0433,
c-1323,o-0517,
c-1324,o-0434,
c-1325,o-0434,基礎
c-1326,o-0435,
c-1401,o-0101,水力発電所の工事・維持・運用の保安監督
