slug,kind,title,provider,url,affiliate,note,sort,source,checked_at
c-1538,テキスト,いちばんやさしい ITパスポート 絶対合格の教科書＋出る順問題集 令和8年度,SBクリエイティブ,https://www.amazon.co.jp/dp/4815638209,https://www.amazon.co.jp/dp/4815638209?tag=ue083093-22,売上トップクラスの定番。図解と頻出過去問で初学者向け,,編集部の選定（定番テキスト）,2026-06-26
c-1538,テキスト,みんなが欲しかった！ ITパスポートの教科書＆問題集 2025年度,TAC出版,https://www.amazon.co.jp/dp/4300114617,https://www.amazon.co.jp/dp/4300114617?tag=ue083093-22,オールカラー・教科書と問題集が1冊・分冊対応,,編集部の選定（定番テキスト）,2026-06-26
c-1538,テキスト,徹底攻略 ITパスポート教科書＋模擬問題 令和6年度,インプレス,https://www.amazon.co.jp/dp/4295018694,https://www.amazon.co.jp/dp/4295018694?tag=ue083093-22,シラバス網羅型。模擬試験・スマホアプリ付き,,編集部の選定（定番テキスト）,2026-06-26
c-3207,テキスト,2026年度版 みんなが欲しかった！ 宅建士の教科書,TAC出版,https://www.amazon.co.jp/dp/4300119279,https://www.amazon.co.jp/dp/4300119279?tag=ue083093-22,フルカラー・分野別3分冊。滝澤ななみ式の定番,,編集部の選定（定番テキスト）,2026-06-26
c-3207,テキスト,2026年版 宅建士 合格のトリセツ 基本テキスト,LEC東京リーガルマインド,https://www.amazon.co.jp/dp/4844948237,https://www.amazon.co.jp/dp/4844948237?tag=ue083093-22,無料講義動画付き・オールカラー,,編集部の選定（定番テキスト）,2026-06-26
c-3207,テキスト,この1冊で合格！ 水野健の宅建士 神テキスト 2026年度版,KADOKAWA,https://www.amazon.co.jp/dp/4046075783,https://www.amazon.co.jp/dp/4046075783?tag=ue083093-22,人気講師による1冊完結型テキスト,,編集部の選定（定番テキスト）,2026-06-26
c-3625,テキスト,みんなが欲しかった！ 簿記の教科書 日商3級 商業簿記 第14版,TAC出版,https://www.amazon.co.jp/dp/4300120668,https://www.amazon.co.jp/dp/4300120668?tag=ue083093-22,フルカラーの定番教科書。ネット試験・統一試験対応,,編集部の選定（定番テキスト）,2026-06-26
c-3625,テキスト,2026年度版 スッキリわかる 日商簿記3級,TAC出版,https://www.amazon.co.jp/dp/4300120617,https://www.amazon.co.jp/dp/4300120617?tag=ue083093-22,テキストと問題集が一体。ストーリー形式で初学者向け,,編集部の選定（定番テキスト）,2026-06-26
c-3625,テキスト,合格するための本試験問題集 日商簿記3級 2025年SS対策,TAC出版,https://www.amazon.co.jp/dp/4300112622,https://www.amazon.co.jp/dp/4300112622?tag=ue083093-22,本試験レベルの問題演習に最適,,編集部の選定（定番テキスト）,2026-06-26
c-1505,テキスト,キタミ式イラストIT塾 基本情報技術者 令和08年,技術評論社,https://www.amazon.co.jp/dp/4297153017,https://www.amazon.co.jp/dp/4297153017?tag=ue083093-22,イラスト中心で独学に人気の定番,,編集部の選定（定番テキスト）,2026-06-26
