# 出典: 厚生労働省 ハローワーク 免許・資格コード一覧（小分類）
# https://www.hellowork.mhlw.go.jp/info/license_list03.html
# 形式: 「# カテゴリ名」= 中分類見出し / それ以外 = コード<TAB>資格名（原文ママ・全角含む）
#農林水産技術
1001	家畜人工授精師
1002	総括畜産コンサルタント
1003	初生雛鑑別師
1004	林業技士
1005	技術士（農業部門）
1006	技術士（森林部門）
1007	技術士（水産部門）
1099	その他の農林水産技術関係資格
#食品技術
1101	食品衛生管理者
1102	食品冷凍技士
1103	食品衛生責任者
1199	その他の食品技術関係資格
#鉱工業技術
1201	ボイラー・タービン主任技術者
1202	航空工場検査員
1203	第一種電気主任技術者
1204	第二種電気主任技術者
1205	第三種電気主任技術者
1206	１級電気工事施工管理技士
1207	２級電気工事施工管理技士
1208	電気通信主任技術者（伝送交換）
1209	電気通信主任技術者（伝送交換）
1210	電気通信主任技術者（線路）
1211	１級計装士
1212	２級計装士
1214	医薬部外品責任技術者
1215	医療機器責任技術者
1216	原子炉主任技術者
1217	核燃料取扱主任者
1218	第１種放射線取扱主任者
1219	第２種放射線取扱主任者
1222	甲種火薬類製造保安責任者
1223	乙種火薬類製造保安責任者
1224	丙種火薬類製造保安責任者
1225	高圧ガス製造保安責任者（甲種化学）
1226	高圧ガス製造保安責任者（甲種機械）
1227	高圧ガス製造保安責任者（第一種冷凍機械）
1231	技術士（機械部門）
1232	技術士（電気電子部門）
1233	技術士（金属部門）
1234	技術士（化学部門）
1235	技術士（生物工学部門）
1236	技術士（資源工学部門）
1237	発破技士
1238	１級電気通信工事施工管理技士
1239	２級電気通信工事施工管理技士
1299	その他の鉱工業技術関係資格
#建築技術
1301	一級建築士
1302	二級建築士
1303	木造建築士
1304	建築設備士
1305	１級建設機械施工技士
1306	２級建設機械施工技士
1307	インテリアプランナー
1308	インテリアコーディネーター
1309	商業施設士
1310	建築設備検査員
1311	昇降機等検査員
1312	特定建築物調査員
1313	建築物環境衛生管理技術者
1314	設備管理士
1315	１級建築施工管理技士
1316	２級建築施工管理技士
1317	技術士（建設部門）
1318	建築積算士
1319	鉄骨製作管理技術者
1320	建築ＣＡＤ検定試験准１級
1321	建築ＣＡＤ検定試験２級
1322	建築ＣＡＤ検定試験３級
1323	建設業経理士１級
